,product_id,current_date,current_stock,predicted_sales,future_week,need_buy,quant_needed
0,P0005,2019-09-30,2.0,0.00000000,2019-10-14,NO,0.0
1,P0007,2019-09-30,3.0,0.00000000,2019-10-14,NO,0.0
2,P0009,2019-09-30,12.0,0.33361956,2019-10-14,NO,0.0
3,P0012,2019-09-30,,0.00000000,2019-10-14,NO,
4,P0015,2019-09-30,16.0,0.27889884,2019-10-14,NO,0.0
5,P0017,2019-09-30,28.0,2.16073040,2019-10-14,NO,0.0
6,P0018,2019-09-30,23.0,0.00000000,2019-10-14,NO,0.0
7,P0025,2019-09-30,4.0,0.90622777,2019-10-14,NO,0.0
8,P0026,2019-09-30,395.0,1.10092930,2019-10-14,NO,0.0
9,P0028,2019-09-30,36.0,0.00000000,2019-10-14,NO,0.0
10,P0033,2019-09-30,4.0,-0.01048071,2019-10-14,NO,0.0
11,P0039,2019-09-30,2.0,0.00000000,2019-10-14,NO,0.0
12,P0042,2019-09-30,19.0,0.06471967,2019-10-14,NO,0.0
13,P0045,2019-09-30,15.0,0.00000000,2019-10-14,NO,0.0
14,P0047,2019-09-30,6.0,0.00000000,2019-10-14,NO,0.0
15,P0054,2019-09-30,1.0,-0.23032899,2019-10-14,NO,0.0
16,P0055,2019-09-30,25.0,0.78385890,2019-10-14,NO,0.0
17,P0059,2019-09-30,5.0,0.00000000,2019-10-14,NO,0.0
18,P0061,2019-09-30,6.0,0.07037234,2019-10-14,NO,0.0
19,P0063,2019-09-30,1.0,0.18036357,2019-10-14,NO,0.0
20,P0067,2019-09-30,3.0,0.31259468,2019-10-14,NO,0.0
21,P0078,2019-09-30,9.0,0.00000000,2019-10-14,NO,0.0
22,P0083,2019-09-30,4.0,0.38847533,2019-10-14,NO,0.0
23,P0085,2019-09-30,6.0,0.00000000,2019-10-14,NO,0.0
24,P0087,2019-09-30,15.0,0.66204630,2019-10-14,NO,0.0
25,P0088,2019-09-30,24.0,2.26572080,2019-10-14,NO,0.0
26,P0090,2019-09-30,18.0,0.60065770,2019-10-14,NO,0.0
27,P0103,2019-09-30,72.0,15.71071150,2019-10-14,NO,0.0
28,P0108,2019-09-30,3.0,0.00000000,2019-10-14,NO,0.0
29,P0110,2019-09-30,5.0,0.19626096,2019-10-14,NO,0.0
30,P0114,2019-09-30,10.0,0.75462025,2019-10-14,NO,0.0
31,P0116,2019-09-30,34.0,3.08322290,2019-10-14,NO,0.0
32,P0117,2019-09-30,6.0,0.00000000,2019-10-14,NO,0.0
33,P0125,2019-09-30,9.0,0.79408140,2019-10-14,NO,0.0
34,P0129,2019-09-30,4.0,0.64958876,2019-10-14,NO,0.0
