,product_id,current_date,current_stock,predicted_sales,future_week,need_buy,quant_needed
259,P0649,2019-09-30,4.0,0.22964999,2019-10-14,NO,0.0
260,P0651,2019-09-30,14.0,0.6061475,2019-10-14,NO,0.0
261,P0652,2019-09-30,10.0,0.6276731,2019-10-14,NO,0.0
262,P0654,2019-09-30,7.0,0.45501542,2019-10-14,NO,0.0
263,P0655,2019-09-30,2.0,0.11758591,2019-10-14,NO,0.0
264,P0658,2019-09-30,6.0,0.0,2019-10-14,NO,0.0
265,P0660,2019-09-30,2.0,0.92062163,2019-10-14,YES,1.0
266,P0663,2019-09-30,50.0,15.175977,2019-10-14,NO,0.0
267,P0664,2019-09-30,23.0,12.559578,2019-10-14,YES,5.0
268,P0665,2019-09-30,6.0,0.7040077,2019-10-14,NO,0.0
269,P0670,2019-09-30,8.0,0.2710596,2019-10-14,NO,0.0
270,P0672,2019-09-30,26.0,0.0,2019-10-14,NO,0.0
271,P0676,2019-09-30,1.0,0.0,2019-10-14,NO,0.0
272,P0679,2019-09-30,1.0,0.0,2019-10-14,NO,0.0
273,P0680,2019-09-30,10.0,0.0,2019-10-14,NO,0.0
274,P0683,2019-09-30,18.0,0.0,2019-10-14,NO,0.0
275,P0684,2019-09-30,1.0,0.0,2019-10-14,NO,0.0
276,P0687,2019-09-30,8.0,-0.058124106,2019-10-14,NO,0.0
277,P0692,2019-09-30,1.0,0.0,2019-10-14,NO,0.0
278,P0694,2019-09-30,5.0,0.9666365,2019-10-14,NO,0.0
279,P0695,2019-09-30,11.0,0.4282139,2019-10-14,NO,0.0
280,P0696,2019-09-30,14.0,0.40930086,2019-10-14,NO,0.0
281,P0700,2019-09-30,3.0,0.026638843,2019-10-14,NO,0.0
282,P0701,2019-09-30,4.0,0.1763477,2019-10-14,NO,0.0
283,P0702,2019-09-30,14.0,0.8781237,2019-10-14,NO,0.0
284,P0704,2019-09-30,6.0,1.0806268,2019-10-14,NO,0.0
285,P0705,2019-09-30,13.0,0.69684845,2019-10-14,NO,0.0
286,P0707,2019-09-30,2.0,0.6484661,2019-10-14,NO,0.0
287,P0708,2019-09-30,1.0,0.0,2019-10-14,NO,0.0
288,P0709,2019-09-30,109.0,15.781625,2019-10-14,NO,0.0
