Store,Date,fcst_revenue,WEEk
S0012,10/31/2019,269,44
S0014,10/1/2019,211,40
S0014,10/2/2019,210,40
S0014,10/3/2019,206,40
S0014,10/4/2019,213,40
S0014,10/5/2019,197,40
S0014,10/6/2019,229,41
S0014,10/7/2019,216,41
S0014,10/8/2019,207,41
S0014,10/9/2019,216,41
S0014,10/10/2019,210,41
S0014,10/11/2019,215,41
S0014,10/12/2019,224,41
S0014,10/13/2019,224,42
S0014,10/14/2019,225,42
S0014,10/15/2019,225,42
S0014,10/16/2019,225,42
S0014,10/17/2019,218,42
S0014,10/18/2019,223,42
S0014,10/19/2019,223,42
S0014,10/20/2019,222,43
S0014,10/21/2019,215,43
S0014,10/22/2019,214,43
S0014,10/23/2019,214,43
S0014,10/24/2019,207,43
S0014,10/25/2019,212,43
S0014,10/26/2019,211,43
S0014,10/27/2019,211,44
S0014,10/28/2019,204,44
S0014,10/29/2019,203,44
S0014,10/30/2019,202,44
S0014,10/31/2019,196,44
S0015,10/1/2019,405,40
S0015,10/2/2019,546,40
S0015,10/3/2019,600,40
S0015,10/4/2019,571,40
S0015,10/5/2019,826,40
S0015,10/6/2019,715,41
S0015,10/7/2019,592,41
S0015,10/8/2019,587,41
S0015,10/9/2019,622,41
S0015,10/10/2019,629,41
S0015,10/11/2019,619,41
S0015,10/12/2019,751,41
S0015,10/13/2019,751,42
S0015,10/14/2019,675,42
S0015,10/15/2019,677,42
S0015,10/16/2019,676,42
S0015,10/17/2019,682,42
S0015,10/18/2019,672,42
S0015,10/19/2019,670,42
S0015,10/20/2019,667,43
S0015,10/21/2019,642,43
S0015,10/22/2019,639,43
S0015,10/23/2019,636,43
S0015,10/24/2019,640,43
S0015,10/25/2019,630,43
S0015,10/26/2019,627,43
S0015,10/27/2019,624,44
S0015,10/28/2019,564,44
S0015,10/29/2019,562,44
S0015,10/30/2019,560,44
S0015,10/31/2019,566,44
S0016,10/1/2019,138,40
S0016,10/2/2019,129,40
S0016,10/3/2019,119,40
S0016,10/4/2019,122,40
S0016,10/5/2019,139,40
S0016,10/6/2019,126,41
S0016,10/7/2019,129,41
S0016,10/8/2019,133,41
S0016,10/9/2019,129,41
S0016,10/10/2019,124,41
